Focal_region,In_or_out,movement,total
"King County, Washington","Arapahoe County, Colorado",MOVEDOUT,277
"King County, Washington","Boulder County, Colorado",MOVEDIN,494
"King County, Washington","Boulder County, Colorado",MOVEDOUT,460
"King County, Washington","Broomfield County, Colorado",MOVEDIN,44
"King County, Washington","Broomfield County, Colorado",MOVEDOUT,0
"King County, Washington","Clear Creek County, Colorado",MOVEDIN,0
"King County, Washington","Clear Creek County, Colorado",MOVEDOUT,7
"King County, Washington","Denver County, Colorado",MOVEDIN,840
"King County, Washington","Denver County, Colorado",MOVEDOUT,454
"King County, Washington","Douglas County, Colorado",MOVEDIN,300
"King County, Washington","Douglas County, Colorado",MOVEDOUT,129
"King County, Washington","Eagle County, Colorado",MOVEDIN,14
"King County, Washington","Eagle County, Colorado",MOVEDOUT,0
"King County, Washington","El Paso County, Colorado",MOVEDIN,99
"King County, Washington","El Paso County, Colorado",MOVEDOUT,215
"King County, Washington","Garfield County, Colorado",MOVEDIN,66
"King County, Washington","Garfield County, Colorado",MOVEDOUT,0
"King County, Washington","Gunnison County, Colorado",MOVEDIN,4
"King County, Washington","Gunnison County, Colorado",MOVEDOUT,0
"King County, Washington","Jefferson County, Colorado",MOVEDIN,148
"King County, Washington","Jefferson County, Colorado",MOVEDOUT,138
"King County, Washington","La Plata County, Colorado",MOVEDIN,0
"King County, Washington","La Plata County, Colorado",MOVEDOUT,33
"King County, Washington","Larimer County, Colorado",MOVEDIN,122
"King County, Washington","Larimer County, Colorado",MOVEDOUT,167
"King County, Washington","Mesa County, Colorado",MOVEDIN,18
"King County, Washington","Mesa County, Colorado",MOVEDOUT,184
"King County, Washington","Pitkin County, Colorado",MOVEDIN,0
"King County, Washington","Pitkin County, Colorado",MOVEDOUT,12
"King County, Washington","Pueblo County, Colorado",MOVEDIN,54
"King County, Washington","Pueblo County, Colorado",MOVEDOUT,0
"King County, Washington","Rio Blanco County, Colorado",MOVEDIN,0
"King County, Washington","Rio Blanco County, Colorado",MOVEDOUT,12
"King County, Washington","Routt County, Colorado",MOVEDIN,0
"King County, Washington","Routt County, Colorado",MOVEDOUT,2
"King County, Washington","San Miguel County, Colorado",MOVEDIN,0
"King County, Washington","San Miguel County, Colorado",MOVEDOUT,7
"King County, Washington","Weld County, Colorado",MOVEDIN,47
"King County, Washington","Weld County, Colorado",MOVEDOUT,26
"King County, Washington","Yuma County, Colorado",MOVEDIN,0
"King County, Washington","Yuma County, Colorado",MOVEDOUT,37
"King County, Washington","Fairfield County, Connecticut",MOVEDIN,170
"King County, Washington","Fairfield County, Connecticut",MOVEDOUT,50
"King County, Washington","Hartford County, Connecticut",MOVEDIN,64
"King County, Washington","Hartford County, Connecticut",MOVEDOUT,99
"King County, Washington","Litchfield County, Connecticut",MOVEDIN,52
"King County, Washington","Litchfield County, Connecticut",MOVEDOUT,16
"King County, Washington","Middlesex County, Connecticut",MOVEDIN,36
"King County, Washington","Middlesex County, Connecticut",MOVEDOUT,8
"King County, Washington","New Haven County, Connecticut",MOVEDIN,75
"King County, Washington","New Haven County, Connecticut",MOVEDOUT,116
"King County, Washington","New London County, Connecticut",MOVEDIN,0
"King County, Washington","New London County, Connecticut",MOVEDOUT,13
"King County, Washington","Tolland County, Connecticut",MOVEDIN,0
"King County, Washington","Tolland County, Connecticut",MOVEDOUT,39
"King County, Washington","New Castle County, Delaware",MOVEDIN,80
"King County, Washington","New Castle County, Delaware",MOVEDOUT,0
"King County, Washington","Sussex County, Delaware",MOVEDIN,5
"King County, Washington","Sussex County, Delaware",MOVEDOUT,6
"King County, Washington","District of Columbia, District of Columbia",MOVEDIN,512
"King County, Washington","District of Columbia, District of Columbia",MOVEDOUT,278
"King County, Washington","Alachua County, Florida",MOVEDIN,126
"King County, Washington","Alachua County, Florida",MOVEDOUT,31
"King County, Washington","Bay County, Florida",MOVEDIN,0
"King County, Washington","Bay County, Florida",MOVEDOUT,9
"King County, Washington","Brevard County, Florida",MOVEDIN,132
"King County, Washington","Brevard County, Florida",MOVEDOUT,93
"King County, Washington","Broward County, Florida",MOVEDIN,86
"King County, Washington","Broward County, Florida",MOVEDOUT,77
"King County, Washington","Charlotte County, Florida",MOVEDIN,19
"King County, Washington","Charlotte County, Florida",MOVEDOUT,0
"King County, Washington","Clay County, Florida",MOVEDIN,29
"King County, Washington","Clay County, Florida",MOVEDOUT,134
"King County, Washington","Collier County, Florida",MOVEDIN,60
"King County, Washington","Collier County, Florida",MOVEDOUT,31
"King County, Washington","Columbia County, Florida",MOVEDIN,0
"King County, Washington","Columbia County, Florida",MOVEDOUT,27
"King County, Washington","DeSoto County, Florida",MOVEDIN,6
"King County, Washington","DeSoto County, Florida",MOVEDOUT,0
"King County, Washington","Duval County, Florida",MOVEDIN,90
"King County, Washington","Duval County, Florida",MOVEDOUT,90
"King County, Washington","Escambia County, Florida",MOVEDIN,46
"King County, Washington","Escambia County, Florida",MOVEDOUT,48
"King County, Washington","Gadsden County, Florida",MOVEDIN,12
"King County, Washington","Gadsden County, Florida",MOVEDOUT,0
"King County, Washington","Hernando County, Florida",MOVEDIN,74
